127.0.0.1 - - [28/Sep/2018:14:04:25 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [28/Sep/2018:14:05:13 +0530] "GET /hotel_management/home1.jsp HTTP/1.1" 200 5152
0:0:0:0:0:0:0:1 - - [28/Sep/2018:14:05:47 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [28/Sep/2018:14:07:53 +0530] "GET /hotel_management/home.jsp HTTP/1.1" 200 4222
0:0:0:0:0:0:0:1 - - [28/Sep/2018:14:07:54 +0530] "GET /hotel_management/home.jsp HTTP/1.1" 200 4222
0:0:0:0:0:0:0:1 - - [28/Sep/2018:14:08:08 +0530] "GET /hotel_management/home1.jsp HTTP/1.1" 200 5152
0:0:0:0:0:0:0:1 - - [28/Sep/2018:14:08:11 +0530] "GET /hotel_management/Admin_Login.jsp HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [28/Sep/2018:14:08:11 +0530] "GET /hotel_management/Admin_Login.jsp HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [28/Sep/2018:14:08:14 +0530] "GET /hotel_management/home1.jsp HTTP/1.1" 200 5152
0:0:0:0:0:0:0:1 - - [28/Sep/2018:14:08:18 +0530] "GET /hotel_management/user.jsp HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [28/Sep/2018:14:08:18 +0530] "GET /hotel_management/user.jsp HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [28/Sep/2018:14:08:21 +0530] "GET /hotel_management/home1.jsp HTTP/1.1" 200 5152
0:0:0:0:0:0:0:1 - - [28/Sep/2018:14:11:00 +0530] "GET /hotel_management/home1.jsp HTTP/1.1" 500 3350
0:0:0:0:0:0:0:1 - - [28/Sep/2018:14:11:00 +0530] "GET /hotel_management/home1.jsp HTTP/1.1" 200 5152
0:0:0:0:0:0:0:1 - - [28/Sep/2018:14:11:54 +0530] "GET /hotel_management/home1.jsp HTTP/1.1" 200 5303
0:0:0:0:0:0:0:1 - - [28/Sep/2018:14:11:55 +0530] "GET /hotel_management/home1.jsp HTTP/1.1" 200 5303
0:0:0:0:0:0:0:1 - - [28/Sep/2018:14:12:37 +0530] "GET /hotel_management/home.jsp HTTP/1.1" 200 4222
0:0:0:0:0:0:0:1 - - [28/Sep/2018:14:12:37 +0530] "GET /hotel_management/home.jsp HTTP/1.1" 200 4222
0:0:0:0:0:0:0:1 - - [28/Sep/2018:14:12:43 +0530] "GET /hotel_management/home1.jsp HTTP/1.1" 200 5303
0:0:0:0:0:0:0:1 - - [28/Sep/2018:14:14:10 +0530] "GET /hotel_management/home1.jsp HTTP/1.1" 200 5303
0:0:0:0:0:0:0:1 - - [28/Sep/2018:14:16:05 +0530] "GET /hotel_management/home1.jsp HTTP/1.1" 200 5301
0:0:0:0:0:0:0:1 - - [28/Sep/2018:14:21:57 +0530] "GET /hotel_management/home1.jsp HTTP/1.1" 500 3350
0:0:0:0:0:0:0:1 - - [28/Sep/2018:14:27:49 +0530] "GET /hotel_management/home1.jsp HTTP/1.1" 200 4943
0:0:0:0:0:0:0:1 - - [28/Sep/2018:14:32:23 +0530] "GET /hotel_management/home1.jsp HTTP/1.1" 200 5090
0:0:0:0:0:0:0:1 - - [28/Sep/2018:14:33:10 +0530] "GET /hotel_management/home1.jsp HTTP/1.1" 200 5090
0:0:0:0:0:0:0:1 - - [28/Sep/2018:14:33:10 +0530] "GET /hotel_management/home1.jsp HTTP/1.1" 200 5090
0:0:0:0:0:0:0:1 - - [28/Sep/2018:14:33:55 +0530] "GET /hotel_management/home1.jsp HTTP/1.1" 200 5090
0:0:0:0:0:0:0:1 - - [28/Sep/2018:14:34:30 +0530] "GET /hotel_management/home.jsp HTTP/1.1" 200 4222
0:0:0:0:0:0:0:1 - - [28/Sep/2018:14:34:48 +0530] "GET /hotel_management/Admin_Login.jsp HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [28/Sep/2018:14:39:25 +0530] "GET /hotel_management/home1.jsp HTTP/1.1" 200 5220
0:0:0:0:0:0:0:1 - - [28/Sep/2018:14:41:02 +0530] "GET /hotel_management/home1.jsp HTTP/1.1" 200 5213
0:0:0:0:0:0:0:1 - - [28/Sep/2018:14:42:05 +0530] "GET /hotel_management/home1.jsp HTTP/1.1" 200 5211
